Name,Activity Code,Activity Description,Industrial Zone
CÔNG TY TNHH YAKJIN SÀI GÒN,1410,May trang phục (trừ trang phục từ da lông thú),KCN BẮC ĐỒNG PHÚ
CÔNG TY TNHH MỘT THÀNH VIÊN THƯƠNG MẠI DỊCH VỤ VÀ SẢN XUẤT QUANG TUẤN,4620,"Bán buôn nông, lâm sản nguyên liệu (trừ gỗ, tre, nứa) và động vật sống",KCN BẮC ĐỒNG PHÚ
CÔNG TY TNHH MỘT THÀNH VIÊN THỦY TIN,5510,Dịch vụ lưu trú ngắn ngày,KCN BẮC ĐỒNG PHÚ
CÔNG TY TNHH  XÂY DỰNG DỊCH VỤ THÀNH ĐẠT ,4663,"Bán buôn vật liệu, thiết bị lắp đặt khác trong xây dựng",KCN BẮC ĐỒNG PHÚ
CÔNG TY TNHH DUCKIL TEXTILE VINA,3290,Sản xuất khác chưa được phân vào đâu,KCN MINH HƯNG HÀN QUỐC
CÔNG TY TNHH RONGHENG (VIỆT NAM),1621,"Sản xuất gỗ dán, gỗ lạng, ván ép và ván mỏng khác",KCN MINH HƯNG III
CÔNG TY TNHH MỘT THÀNH VIÊN ĐẠI ĐỈNH PHÁT,6810,"Kinh doanh bất động sản, quyền sử dụng đất thuộc chủ sở hữu, chủ sử dụng hoặc đi thuê",KCN MINH HƯNG III
CÔNG TY TNHH MỘT THÀNH VIÊN THƯƠNG MẠI VÀ DỊCH VỤ HOÀNG NGỌC BP,4771,"Bán lẻ hàng may mặc, giày dép, hàng da và giả da trong các cửa hàng chuyên doanh",KCN NAM ĐỒNG PHÚ
CÔNG TY TNHH TOÀN PHÁT ĐỒNG PHÚ,5610,Nhà hàng và các dịch vụ ăn uống phục vụ lưu động,KCN NAM ĐỒNG PHÚ
CÔNG TY TNHH MỘT THÀNH VIÊN THƯƠNG MẠI DỊCH VỤ TRỌNG LỰC,5510,Dịch vụ lưu trú ngắn ngày,KCN NAM ĐỒNG PHÚ
CÔNG TY TNHH THƯƠNG MẠI GIÀY DA VIETCAN,1520,Sản xuất giày dép,KCN CHƠN THÀNH
CÔNG TY TNHH XUÂN HƯỞNG BÌNH PHƯỚC,5210,Kho bãi và lưu giữ hàng hóa,KCN BẮC ĐỒNG PHÚ
CÔNG TY TNHH HẰNG KHOA VIỆT NAM,3290,Sản xuất khác chưa được phân vào đâu,KCN BẮC ĐỒNG PHÚ
CÔNG TY TNHH MỘT THÀNH VIÊN THƯƠNG MẠI DỊCH VỤ JU YOUNG,1410,May trang phục (trừ trang phục từ da lông thú),KCN BẮC ĐỒNG PHÚ
CÔNG TY TNHH  ĐẦU TƯ VÀ PHÁT TRIỂN DỰ ÁN LÊ MINH,6810,"Kinh doanh bất động sản, quyền sử dụng đất thuộc chủ sở hữu, chủ sử dụng hoặc đi thuê",KCN ĐỒNG XOÀI II
CÔNG TY TNHH GIẤY SHENG DA VN,1629,"Sản xuất sản phẩm khác từ gỗ; sản xuất sản phẩm từ tre, nứa, rơm, rạ và vật liệu tết bện",KCN CHƠN THÀNH
CÔNG TY TNHH GỖ ĐỒNG PHÚC,1629,"Sản xuất sản phẩm khác từ gỗ; sản xuất sản phẩm từ tre, nứa, rơm, rạ và vật liệu tết bện",KCN CHƠN THÀNH
CÔNG TY TNHH MỘT THÀNH VIÊN CƠ KHÍ - XE NÂNG TRUNG HIẾU,4520,"Bảo dưỡng, sửa chữa ô tô và xe có động cơ khác",KCN BẮC ĐỒNG PHÚ
CÔNG TY TNHH SẢN XUẤT THƯƠNG MẠI KIM HOÀNG MINH,4530,Bán phụ tùng và các bộ phận phụ trợ của ô tô và xe có động cơ khác,KCN BẮC ĐỒNG PHÚ
CÔNG TY TNHH SẢN XUẤT THƯƠNG MẠI KIM NAM HẢI,4530,Bán phụ tùng và các bộ phận phụ trợ của ô tô và xe có động cơ khác,KCN BẮC ĐỒNG PHÚ
CÔNG TY TNHH SẢN XUẤT KẾT CẤU THÉP HỒNG TÍN,2599,Sản xuất sản phẩm khác bằng kim loại chưa được phân vào đâu,KCN BECAMEX BÌNH PHƯỚC
CÔNG TY TNHH GIẤY BAO BÌ MỸ THỊNH,1702,"Sản xuất giấy nhăn, bìa nhăn, bao bì từ giấy và bìa",KCN ĐỒNG XOÀI III
CÔNG TY TNHH NỘI THẤT HẰNG DỤ,3100,"Sản xuất giường, tủ, bàn, ghế",KCN BẮC ĐỒNG PHÚ
CÔNG TY TNHH MỘT THÀNH VIÊN YIHUI,2220,Sản xuất sản phẩm từ plastic,KCN NAM ĐỒNG PHÚ
CÔNG TY TNHH MTV BAF MEAT BÌNH PHƯỚC,1010,"Chế biến, bảo quản thịt và các sản phẩm từ thịt",KCN MINH HƯNG SIKICO
CÔNG TY TNHH MỘT THÀNH VIÊN SX VÀ TM ĐỨC MẠNH HÙNG,4662,Bán buôn kim loại và quặng kim loại,KCN CHƠN THÀNH
CÔNG TY TNHH KIM THỦY NGÂN,6810,"Kinh doanh bất động sản, quyền sử dụng đất thuộc chủ sở hữu, chủ sử dụng hoặc đi thuê",KCN NAM ĐỒNG PHÚ
CÔNG TY TNHH CUNG CẤP THIẾT BỊ BỂ CÁ CẢNH YUSEE VIỆT NAM,2220,Sản xuất sản phẩm từ plastic,KCN BẮC ĐỒNG PHÚ
CÔNG TY TNHH XÂY DỰNG DỰ ÁN ACB,2592,Gia công cơ khí; xử lý và tráng phủ kim loại,KCN CHƠN THÀNH I
CÔNG TY TNHH SẢN XUẤT THƯƠNG MẠI DỊCH VỤ THANH THẢO BP,4669,Bán buôn chuyên doanh khác chưa được phân vào đâu,KCN CHƠN THÀNH
CÔNG TY TNHH CHIEF,2599,Sản xuất sản phẩm khác bằng kim loại chưa được phân vào đâu,KCN CHƠN THÀNH I
CÔNG TY TNHH WOOD SPARK,2599,Sản xuất sản phẩm khác bằng kim loại chưa được phân vào đâu,KCN CHƠN THÀNH I
CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ KIỀU ANH PHÁT,7830,Cung ứng và quản lý nguồn lao động,KCN CHƠN THÀNH
CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ TỔNG HỢP LIÊN THÀNH,4933,Vận tải hàng hóa bằng đường bộ,KCN BECAMEX BÌNH PHƯỚC
CÔNG TY TNHH SẢN XUẤT INVICTUS,1622,Sản xuất đồ gỗ xây dựng,KCN ĐỒNG XOÀI
CÔNG TY TNHH Ô TÔ ĐỒNG PHÚ,4511,Bán buôn ô tô và xe có động cơ khác,KCN BẮC ĐỒNG PHÚ
CÔNG TY TNHH SẢN XUẤT GỖ TOÀN THÀNH,1629,"Sản xuất sản phẩm khác từ gỗ; sản xuất sản phẩm từ tre, nứa, rơm, rạ và vật liệu tết bện",KCN CHƠN THÀNH
CÔNG TY TNHH CÔNG NGHỆ DỆT CHÍ THỊNH,1391,"Sản xuất vải dệt kim, vải đan móc và vải không dệt khác",KCN BẮC ĐỒNG PHÚ
CÔNG TY TNHH KIM LONG ĐỒNG PHÚ,4773,Bán lẻ hàng hóa khác mới trong các cửa hàng chuyên doanh,KCN BẮC ĐỒNG PHÚ
CÔNG TY TNHH MỘT THÀNH VIÊN VÀNG BẠC HOÀNG LỘC,4662,Bán buôn kim loại và quặng kim loại,KCN BẮC ĐỒNG PHÚ
CÔNG TY TNHH NỘI THẤT HONG CHENG,3100,"Sản xuất giường, tủ, bàn, ghế",KCN CHƠN THÀNH I
CÔNG TY TNHH THƯƠNG MẠI TÀI PHÁT THỊNH,4100,Xây dựng nhà các loại,KCN ĐỒNG XOÀI I
CÔNG TY TNHH TƯ VẤN ĐẦU TƯ XÂY DỰNG ĐỨC PHÚ,7110,Hoạt động kiến trúc và tư vấn kỹ thuật có liên quan,KCN NAM ĐỒNG PHÚ
CÔNG TY TNHH SẢN XUẤT VÀ THƯƠNG MẠI GỖ TRƯỜNG XUÂN,1610,"Cưa, xẻ, bào gỗ và bảo quản gỗ",KCN ĐỒNG XOÀI III
CÔNG TY TNHH GIẤY NAM LONG BÌNH PHƯỚC,6810,"Kinh doanh bất động sản, quyền sử dụng đất thuộc chủ sở hữu, chủ sử dụng hoặc đi thuê",KCN MINH HƯNG III
CÔNG TY TNHH DỊCH VỤ THƯƠNG MẠI PHƯỚC THIỆN,5621,Cung cấp dịch vụ ăn uống theo hợp đồng không thường xuyên với khách hàng,KCN MINH HƯNG
CÔNG TY TNHH ĐẦU TƯ CHƠN THÀNH CAPITAL,6810,"Kinh doanh bất động sản, quyền sử dụng đất thuộc chủ sở hữu, chủ sử dụng hoặc đi thuê",KCN CHƠN THÀNH I
CÔNG TY TNHH HÀ PHƯỚC THỊNH,1629,"Sản xuất sản phẩm khác từ gỗ; sản xuất sản phẩm từ tre, nứa, rơm, rạ và vật liệu tết bện",KCN ĐỒNG XOÀI I
CÔNG TY TNHH SX - TM - DV PCCC ĐẠI PHÁT,4669,Bán buôn chuyên doanh khác chưa được phân vào đâu,KCN CHƠN THÀNH
CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ SẢN XUẤT TÂN AN ,1709,Sản xuất các sản phẩm khác từ giấy và bìa chưa được phân vào đâu,KCN MINH HƯNG III
CÔNG TY TNHH  THƯƠNG MẠI DỊCH VỤ ĐẦU TƯ TỔNG HỢP CHƠN THÀNH,4690,Bán buôn tổng hợp,KCN CHƠN THÀNH
CÔNG TY CỔ PHẦN NAN XIONG VIỆT NAM,1629,"Sản xuất sản phẩm khác từ gỗ; sản xuất sản phẩm từ tre, nứa, rơm, rạ và vật liệu tết bện",KCN CHƠN THÀNH
CÔNG TY CỔ PHẦN ĐẦU TƯ KINH DOANH NHÀ BÌNH PHƯỚC,125,Trồng cây cao su,KCN ĐỒNG XOÀI III
CÔNG TY CỔ PHẦN CƠ KHÍ LUYỆN KIM CHƠN THÀNH,2432,Đúc kim loại màu,KCN CHƠN THÀNH
CÔNG TY CỔ PHẦN SINH KHỐI NAHNOOM,1629,"Sản xuất sản phẩm khác từ gỗ; sản xuất sản phẩm từ tre, nứa, rơm, rạ và vật liệu tết bện",KCN TÂN THÀNH ĐỒNG XOÀI
CÔNG TY CỔ PHẦN GREEN WOOD BÌNH PHƯỚC ENERGY,1629,"Sản xuất sản phẩm khác từ gỗ; sản xuất sản phẩm từ tre, nứa, rơm, rạ và vật liệu tết bện",KCN ĐỒNG XOÀI I
CÔNG TY CỔ PHẦN MẦM NON TƯ THỤC HOA MAI,8510,Giáo dục mầm non,KCN MINH HƯNG III
CÔNG TY CỔ PHẦN ÔTÔ ĐÔ THÀNH BÌNH PHƯỚC,4511,Bán buôn ô tô và xe có động cơ khác,KCN BẮC ĐỒNG PHÚ
CÔNG TY CỔ PHẦN KIM TÍN MDF ĐỒNG PHÚ,1621,"Sản xuất gỗ dán, gỗ lạng, ván ép và ván mỏng khác",KCN NAM ĐỒNG PHÚ
CÔNG TY CỔ PHẦN THƯƠNG MẠI DỊCH VỤ GIẤY THUẬN AN,3830,Tái chế phế liệu,KCN MINH HƯNG III
CÔNG TY CỔ PHẦN KIM TÍN BÌNH PHƯỚC,2599,Sản xuất sản phẩm khác bằng kim loại chưa được phân vào đâu,KCN NAM ĐỒNG PHÚ
CÔNG TY CỔ PHẦN GIẤY KHÔI NGUYÊN,3830,Tái chế phế liệu,KCN MINH HƯNG III
CÔNG TY CỔ PHẦN TRƯỜNG MẦM NON QUỐC TẾ,8512,Giáo dục mẫu giáo,KCN ĐỒNG XOÀI I
CÔNG TY CỔ PHẦN QH PACKAGING,1080,"Sản xuất thức ăn gia súc, gia cầm và thuỷ sản",KCN MINH HƯNG SIKICO
CÔNG TY CỔ PHẦN NĂNG LƯỢNG XANH KIM TÍN 3,3511,Sản xuất điện,KCN NAM ĐỒNG PHÚ
CÔNG TY CỔ PHẦN NĂNG LƯỢNG XANH KIM TÍN 2,3511,Sản xuất điện,KCN NAM ĐỒNG PHÚ
CÔNG TY CỔ PHẦN NĂNG LƯỢNG XANH KIM TÍN 1,3511,Sản xuất điện,KCN NAM ĐỒNG PHÚ
CÔNG TY CỔ PHẦN BẤT ĐỘNG SẢN LEVAHOMES,6810,"Kinh doanh bất động sản, quyền sử dụng đất thuộc chủ sở hữu, chủ sử dụng hoặc đi thuê",KCN CHƠN THÀNH
CÔNG TY CỔ PHẦN ĐẦU TƯ CTM,4711,"Bán lẻ lương thực, thực phẩm, đồ uống, thuốc lá, thuốc lào chiếm tỷ trọng lớn trong các cửa hàng kinh doanh tổng hợp",KCN CHƠN THÀNH
CÔNG TY CỔ PHẦN BẤT ĐỘNG SẢN TRÀNG AN LAND,6820,"Tư vấn, môi giới, đấu giá bất động sản, đấu giá quyền sử dụng đất",KCN BECAMEX BÌNH PHƯỚC
CÔNG TY CỔ PHẦN ĐẦU TƯ SẢN XUẤT NÔNG NGHIỆP SUỐI LAM,121,Trồng cây ăn quả,KCN BẮC ĐỒNG PHÚ
CÔNG TY CỔ PHẦN GĂNG TAY BÌNH PHƯỚC,2219,Sản xuất sản phẩm khác từ cao su,KCN CHƠN THÀNH
CÔNG TY CỔ PHẦN CÔNG NGHIỆP NAM HƯNG PHƯỚC,6810,"Kinh doanh bất động sản, quyền sử dụng đất thuộc chủ sở hữu, chủ sử dụng hoặc đi thuê",KCN MINH HƯNG SIKICO
CÔNG TY CỔ PHẦN KIM TÍN MDF CHƠN THÀNH,1621,"Sản xuất gỗ dán, gỗ lạng, ván ép và ván mỏng khác",KCN BECAMEX BÌNH PHƯỚC
CÔNG TY CỔ PHẦN LEGEND BP,7020,Hoạt động tư vấn quản lý,KCN MINH HƯNG SIKICO
CÔNG TY CỔ PHẦN PHÁT TRIỂN CÔNG NGHIỆP KIM TÍN CHƠN THÀNH,5210,Kho bãi và lưu giữ hàng hóa,KCN BECAMEX BÌNH PHƯỚC
CÔNG TY CỔ PHẦN CÔNG NGHIỆP ĐẠI HẠNH PHÚC,6810,"Kinh doanh bất động sản, quyền sử dụng đất thuộc chủ sở hữu, chủ sử dụng hoặc đi thuê",KCN MINH HƯNG SIKICO
CÔNG TY CỔ PHẦN KIM TÍN DECOR,3100,"Sản xuất giường, tủ, bàn, ghế",KCN BECAMEX BÌNH PHƯỚC
CÔNG TY CỔ PHẦN CÔNG NGHIỆP ION,6810,"Kinh doanh bất động sản, quyền sử dụng đất thuộc chủ sở hữu, chủ sử dụng hoặc đi thuê",KCN CHƠN THÀNH
CÔNG TY CỔ PHẦN KIM TÍN PKBD,6810,"Kinh doanh bất động sản, quyền sử dụng đất thuộc chủ sở hữu, chủ sử dụng hoặc đi thuê",KCN NAM ĐỒNG PHÚ
CÔNG TY CỔ PHẦN ĐẦU TƯ PHƯỚC LINH,6810,"Kinh doanh bất động sản, quyền sử dụng đất thuộc chủ sở hữu, chủ sử dụng hoặc đi thuê",KCN ĐỒNG XOÀI I
